Región,Lista/Candidato,Partido,Votos,Porcentaje
DE ÑUBLE,1 GONZALO WINTER ETCHEBERRY,FA,0,"0,00%"
DE ÑUBLE,2 JEANNETTE JARA ROMAN,PCCH,0,"0,00%"
DE ÑUBLE,3 CAROLINA TOHA MORALES,PPD,0,"0,00%"
DE ÑUBLE,4 JAIME MULET MARTINEZ,FREVS,0,"0,00%"
DE ÑUBLE,Válidamente Emitidos,,0,"0,00%"
DE ÑUBLE,Votos Nulos,,0,"0,00%"
DE ÑUBLE,Votos en Blanco,,0,"0,00%"
DE ÑUBLE,Total Votación,,0,"0,00%"
DEL BIOBIO,UNIDAD POR CHILE,,0,"0,00%"
DEL BIOBIO,1 GONZALO WINTER ETCHEBERRY,FA,0,"0,00%"
DEL BIOBIO,2 JEANNETTE JARA ROMAN,PCCH,0,"0,00%"
DEL BIOBIO,3 CAROLINA TOHA MORALES,PPD,0,"0,00%"
DEL BIOBIO,4 JAIME MULET MARTINEZ,FREVS,0,"0,00%"
DEL BIOBIO,Válidamente Emitidos,,0,"0,00%"
DEL BIOBIO,Votos Nulos,,0,"0,00%"
DEL BIOBIO,Votos en Blanco,,0,"0,00%"
DEL BIOBIO,Total Votación,,0,"0,00%"
DE LA ARAUCANIA,UNIDAD POR CHILE,,0,"0,00%"
DE LA ARAUCANIA,1 GONZALO WINTER ETCHEBERRY,FA,0,"0,00%"
DE LA ARAUCANIA,2 JEANNETTE JARA ROMAN,PCCH,0,"0,00%"
DE LA ARAUCANIA,3 CAROLINA TOHA MORALES,PPD,0,"0,00%"
DE LA ARAUCANIA,4 JAIME MULET MARTINEZ,FREVS,0,"0,00%"
DE LA ARAUCANIA,Válidamente Emitidos,,0,"0,00%"
DE LA ARAUCANIA,Votos Nulos,,0,"0,00%"
DE LA ARAUCANIA,Votos en Blanco,,0,"0,00%"
DE LA ARAUCANIA,Total Votación,,0,"0,00%"
DE LOS RIOS,UNIDAD POR CHILE,,0,"0,00%"
DE LOS RIOS,1 GONZALO WINTER ETCHEBERRY,FA,0,"0,00%"
DE LOS RIOS,2 JEANNETTE JARA ROMAN,PCCH,0,"0,00%"
DE LOS RIOS,3 CAROLINA TOHA MORALES,PPD,0,"0,00%"
DE LOS RIOS,4 JAIME MULET MARTINEZ,FREVS,0,"0,00%"
DE LOS RIOS,Válidamente Emitidos,,0,"0,00%"
DE LOS RIOS,Votos Nulos,,0,"0,00%"
DE LOS RIOS,Votos en Blanco,,0,"0,00%"
DE LOS RIOS,Total Votación,,0,"0,00%"
DE LOS LAGOS,UNIDAD POR CHILE,,0,"0,00%"
DE LOS LAGOS,1 GONZALO WINTER ETCHEBERRY,FA,0,"0,00%"
DE LOS LAGOS,2 JEANNETTE JARA ROMAN,PCCH,0,"0,00%"
DE LOS LAGOS,3 CAROLINA TOHA MORALES,PPD,0,"0,00%"
DE LOS LAGOS,4 JAIME MULET MARTINEZ,FREVS,0,"0,00%"
DE LOS LAGOS,Válidamente Emitidos,,0,"0,00%"
DE LOS LAGOS,Votos Nulos,,0,"0,00%"
DE LOS LAGOS,Votos en Blanco,,0,"0,00%"
DE LOS LAGOS,Total Votación,,0,"0,00%"
DE AYSEN DEL GENERAL CARLOS IBAÑEZ DEL CAMPO,UNIDAD POR CHILE,,0,"0,00%"
DE AYSEN DEL GENERAL CARLOS IBAÑEZ DEL CAMPO,1 GONZALO WINTER ETCHEBERRY,FA,0,"0,00%"
DE AYSEN DEL GENERAL CARLOS IBAÑEZ DEL CAMPO,2 JEANNETTE JARA ROMAN,PCCH,0,"0,00%"
DE AYSEN DEL GENERAL CARLOS IBAÑEZ DEL CAMPO,3 CAROLINA TOHA MORALES,PPD,0,"0,00%"
DE AYSEN DEL GENERAL CARLOS IBAÑEZ DEL CAMPO,4 JAIME MULET MARTINEZ,FREVS,0,"0,00%"
DE AYSEN DEL GENERAL CARLOS IBAÑEZ DEL CAMPO,Válidamente Emitidos,,0,"0,00%"
DE AYSEN DEL GENERAL CARLOS IBAÑEZ DEL CAMPO,Votos Nulos,,0,"0,00%"
DE AYSEN DEL GENERAL CARLOS IBAÑEZ DEL CAMPO,Votos en Blanco,,0,"0,00%"
DE AYSEN DEL GENERAL CARLOS IBAÑEZ DEL CAMPO,Total Votación,,0,"0,00%"
DE MAGALLANES Y DE LA ANTARTICA CHILENA,UNIDAD POR CHILE,,0,"0,00%"
DE MAGALLANES Y DE LA ANTARTICA CHILENA,1 GONZALO WINTER ETCHEBERRY,FA,0,"0,00%"
DE MAGALLANES Y DE LA ANTARTICA CHILENA,2 JEANNETTE JARA ROMAN,PCCH,0,"0,00%"
DE MAGALLANES Y DE LA ANTARTICA CHILENA,3 CAROLINA TOHA MORALES,PPD,0,"0,00%"
DE MAGALLANES Y DE LA ANTARTICA CHILENA,4 JAIME MULET MARTINEZ,FREVS,0,"0,00%"
DE MAGALLANES Y DE LA ANTARTICA CHILENA,Válidamente Emitidos,,0,"0,00%"
DE MAGALLANES Y DE LA ANTARTICA CHILENA,Votos Nulos,,0,"0,00%"
DE MAGALLANES Y DE LA ANTARTICA CHILENA,Votos en Blanco,,0,"0,00%"
DE MAGALLANES Y DE LA ANTARTICA CHILENA,Total Votación,,0,"0,00%"
