Región,Lista/Candidato,Partido,Votos,Porcentaje,Fecha Datos
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,2 JEANNETTE JARA ROMAN,PCCH,35721,"62,23%",29-06-2025 22:00
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,3 CAROLINA TOHA MORALES,PPD,15145,"26,39%",29-06-2025 22:00
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,4 JAIME MULET MARTINEZ,FREVS,1548,"2,70%",29-06-2025 22:00
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,Válidamente Emitidos,,57397,"96,63%",29-06-2025 22:00
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,Votos Nulos,,1502,"2,53%",29-06-2025 22:00
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,Votos en Blanco,,499,"0,84%",29-06-2025 22:00
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,Total Votación,,59398,"100,00%",29-06-2025 22:00
DEL MAULE,UNIDAD POR CHILE,,57908,"100,00%",29-06-2025 22:00
DEL MAULE,1 GONZALO WINTER ETCHEBERRY,FA,4943,"8,54%",29-06-2025 22:00
DEL MAULE,2 JEANNETTE JARA ROMAN,PCCH,34451,"59,49%",29-06-2025 22:00
DEL MAULE,3 CAROLINA TOHA MORALES,PPD,16922,"29,22%",29-06-2025 22:00
DEL MAULE,4 JAIME MULET MARTINEZ,FREVS,1592,"2,75%",29-06-2025 22:00
DEL MAULE,Válidamente Emitidos,,57908,"95,47%",29-06-2025 22:00
DEL MAULE,Votos Nulos,,2001,"3,30%",29-06-2025 22:00
DEL MAULE,Votos en Blanco,,748,"1,23%",29-06-2025 22:00
DEL MAULE,Total Votación,,60657,"100,00%",29-06-2025 22:00
DE ÑUBLE,UNIDAD POR CHILE,,25707,"100,00%",29-06-2025 22:00
DE ÑUBLE,1 GONZALO WINTER ETCHEBERRY,FA,1972,"7,67%",29-06-2025 22:00
